,Circle,Likelihood
58,"(41.878638996, -87.627691486, 71.52424630647889)",0.1601835182328076
59,"(41.756604794, -87.576095781, 488.65370554641885)",0.0
60,"(41.896970377, -87.631250927, 421.41467016997586)",0.0
61,"(41.867414944, -87.627231186, 188.74085317610277)",0.0
62,"(41.909770708, -87.735196552, 436.5271179240252)",0.0
63,"(41.756604794, -87.576095781, 940.3951272798652)",0.0
64,"(41.868541914, -87.639235361, 1118.4694317113529)",0.0
65,"(41.878638996, -87.627691486, 392.2832171755626)",0.0
66,"(41.909770708, -87.735196552, 338.28819092415205)",0.0
67,"(41.901581306, -87.626876922, 214.17606459209836)",0.0
68,"(41.909770708, -87.735196552, 1438.9302590384327)",0.0
69,"(41.896970377, -87.631250927, 182.9253220266324)",0.0
70,"(41.901581306, -87.626876922, 217.6768493210902)",0.0
71,"(41.693309015, -87.621013915, 1298.0609147824716)",0.0
72,"(41.878638996, -87.627691486, 1180.9949502417478)",0.0
73,"(41.867414944, -87.627231186, 1101.1750667233312)",0.0
74,"(41.878638996, -87.627691486, 117.33837800881734)",0.7493195849427753
75,"(41.756604794, -87.576095781, 748.0653561558813)",0.0
76,"(41.962393372, -87.652340314, 538.6773005784975)",0.0
77,"(41.909770708, -87.735196552, 413.01826199001226)",0.0
78,"(41.901581306, -87.626876922, 940.3951272798652)",0.0
79,"(41.909770708, -87.735196552, 402.3008618499208)",0.0
80,"(41.695014818, -87.648357778, 488.65370554641885)",0.0
81,"(41.693309015, -87.621013915, 115.0334025885225)",0.0
82,"(41.868541914, -87.639235361, 1106.0619812701673)",0.0
83,"(41.695014818, -87.648357778, 1101.1750667233312)",0.0
84,"(41.962393372, -87.652340314, 394.5696726350758)",0.0
85,"(41.901581306, -87.626876922, 32.39599285840681)",1.3384663745384642
86,"(41.896970377, -87.631250927, 32.39599285840681)",1.3384663745384642
87,"(41.962393372, -87.652340314, 421.41467016997586)",0.0
88,"(41.962393372, -87.652340314, 413.01826199001226)",0.0
